RAZAO;INFORMAL;RAMOATIVID;TIPOEMP;UNIDADE;TEL1;TELC2;FAX;NCHECKOUT;ENDEMP;BAIRROEMP;CEP;CIDADEEMP;UFEMP;Origem 
Master SDA Hipermercados Ltda;MASTER SUPERMERCADOS;Varejo Alimenticio;Filial;;11-3472-2200;;;25;R Frei Caneca, 569;Cerqueira Cesar;01307-001;Sao Paulo;SP;MKR
Doce Aroma Cafe;DOCE AROMA;Varejo Alimenticio;Matriz;;11 3286-0858;;;0;Av Paulista, 1463;Cerqueira Cesar;01311-200;Sao Paulo;SP;MKR
Servico Social do Comercio;SESC PAULISTA;Prestação Serviços Clubes;Filial;Av.Paulista;3179-3720;;;0;Av Paulista, 119;Cerqueira Cesar;01311-903;Sao Paulo;SP;MKR
Oxiteno Nordeste S/A Ind. e Com.;OXITENO;Industria Outros;Matriz;;11-3177-6102;;11-3177-6102;0;Av Brg Luiz Antonio, 1343 7 and;Bela Vista;01317-913;Sao Paulo;SP;MKR
ABC BSH Continental;BSH CONTINENTAL;Industria Outros;Matriz;;11-2123-3558;;;0;R Francisco Otaviano, 43;Mooca;01330-030;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;25;19-3266-3444;;;0;Av Sacuna, 94;Vl Aeroporto;01354-100;Campinas;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - PAMPLONA;Varejo Alimenticio;Filial;1226;11-251-5866;;;0;R Pamplona, 816;Bela Vista;01405-001;Sao Paulo;SP;MKR
Habibs Fast Food;HABIBS AUGUSTA;Varejo Alimenticio;Filial;;3063-1419;;3063-1419;0;R Augusta, 1894;Cerqueira Cesar;01412-000;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - CONSOLACAO;Varejo Alimenticio;Filial;0008;11-3062-3319;;11-3088-4581;6;R da Consolacao, 2581;Cerqueira Cesar;01416-000;Sao Paulo;SP;MKR
Colegio Dante Alighieri;COLEGIO DANTE;Varejo Outros;Matriz;;11-3179-4400;;11-3289-9365;0;Al Jau, 1061;Cerqueira Cesar;01420-001;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;P.A CENTRAL DE COMPRAS;Varejo Alimenticio;Matriz;;11-3886-3153;;11-3885-7686;0;R Cap Pinto Ferreira, 187;Jd Paulista;01423-020;Sao Paulo;SP;MKR
C & C Casa & Construcao Ltda;C & C;Varejo Outros;Filial;Brasil;11-3891-1157;;11-3981-1157;0;Av Brasil, 1860;Jd Paulista;01430-001;Sao Paulo;SP;MKR
Le Mille Comercial de Alimentos Ltda;LE MILLE;Varejo Alimenticio;Matriz;;3107-8688;;3105-8572;0;Av da Liberdade, 9;Liberdade;01503000;Sao Paulo;SP;MKR
Darrow Laboratorios;DARROW;Industria Outros;Matriz;;21 2553-8150/ r: 334;;;0;R Jose Getulio, 579 4a nd Cj 41;Aclimacao;01509-001;Sao Paulo;SP;MKR
Supermercado Terranova Ltda;SM TERRANOVA;Varejo Alimenticio;Matriz;Liberdade;11-3207-9514;;;0;R Cons Furtado, 1001;Liberdade;01511-001;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO-GLICERIO;Varejo Alimenticio;Filial;;11-3277-9533;;11-279-8883;0;R do Glicerio, 90;Glicerio;01514-000;Sao Paulo;SP;MKR
Asta Medica Ltda;ASTA MEDICA;Industria Outros;Filial;;11-3340-3200;;11-3340-3200;0;R Teixeira Leite, 170;Glicerio;01514-010;Sao Paulo;SP;MKR
Carrefour Comercio e Industria Ltda;CARREFOUR;Varejo Alimenticio;Filial;Cambuci Lion;11-3388-3700;;11-3388-3723;44;Pca Alberto Lion, 100;Cambuci;01515-000;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - CAMBUCI;Varejo Alimenticio;Filial;0168;11-3208-5054;;11-3208-6391;0;Lgo do Cambuci, 121;Cambuci;01523-010;Sao Paulo;SP;MKR
Mereu Com. Prod. Alim. Horti Granj. Ltda;SACOLAO ACLIMACAO;Varejo Alimenticio;Matriz;;11-3209-5487;;11-3209-5487;4;R Muniz de Souza, 572;Aclimacao;01534-000;Sao Paulo;SP;MKR
Maria Farinha Paes e Doces Ltda;MARIA FARINHA PAES E DOCES;Varejo Alimenticio;Matriz;;5082-1185;;;0;Av Lacerda Franco, 1492;Aclimacao;01536-010;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;05;11-3276-6418;;;0;Av Lins de Vasconcelos, 732/741;Cambuci;01538-000;Sao Paulo;SP;MKR
Walpack Ind e Com Ltda;WALPACK;Industria Outros;Matriz;;6168 5990;;6168 1993;0;R Mariz e Barros, 101;Jd da Gloria;01545-010;Sao Paulo;SP;MKR
Super Sacolao Santana Ltda;REDE OBA DE HORTIFRUTIS;Varejo Alimenticio;Filial;Santana;11-6977-1983;;;0;R Alfredo Pujol, 1324;Santana;02017-003;Sao Paulo;SP;MKR
Sincro-Belt Com d Artefatos de Borrachas Ltda;SINCRO-BELT;Varejo Outros;Matriz;;11-6950-6121;;;0;Av Gal Ataliba Leonel, 1095;Santana;02031-000;Sao Paulo;SP;MKR
Supermercado Goia Ltda;SM GOIA;Varejo Alimenticio;Matriz;;11-6283-4290;;;6;R Dr Olavo Egidio, 534;Santana;02037001;Sao Paulo;SP;MKR
C & C Casa & Construcao Ltda;C & C;Varejo Outros;Filial;Lar Center;11-6221-2911;;;0;Av Otto Baumgasrt, 500 LJ 111 Lar Center;;02049-000;Sao Paulo;SP;MKR
Dutra Maquinas Coml. e Tecnica Ltda;DUTRA MAQUINA;Varejo Outros;Matriz;;11-6905-3535;;11-6905-3536;0;R Amazonas da Silva, 22;Vl Guilherme;02051-000;Sao Paulo;SP;MKR
Corprosul Comercio Importacao e Exportacao Ltda;COPROSUL;Varejo Alimenticio;Matriz;;11-6905-3222;;11-6905-3228;0;R Leonor F Costa Zacharias, 1949;Vl Guilherme;02052-020;Sao Paulo;SP;MKR
Crismilk Com de Prod Alimenticios Ltda;CRISMILK;Varejo Alimenticio;Matriz;;11-6909-4477;;11-6909-4477;0;Av Guilherme, 903;Vl Guilherme;02053-002;Sao Paulo;SP;MKR
Pamfis Dist de Prod Alim Ltda;PAMFIS;Prestação Serviços Consultoria;Matriz;;11-6905-1925;;;0;R Ns Operaria 435;Vl Guilherme;02060-010;Sao Paulo;SP;MKR
Nadir Figueiredo Industria de Vidros;NADIR FIGUEIREDO;Industria Outros;Matriz;;11-6967-8800;;;0;R Morvan Dias de Figueiredo, 3535;Limao;02063-000;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;84;11-6909-5788;;;0;Av Joaquina Ramalho, 1201;Vl Guilherme;02065-010;Sao Paulo;SP;MKR
Entreposto e Distribuidora de Carnes Daniella Ltda;CARNES NOBRES DANIELLA;Varejo Alimenticio;Matriz;;6909-1267;;;0;Av Joaquina Ramalho, 851;Vl Guilherme;02065-010;Sao Paulo;SP;MKR
Supermercado Chinem;SM CHINEM;Varejo Alimenticio;Matriz;;11-6909-3076;;;0;R Chico Pontes, 702;Vl Guilherme;02067-001;Sao Paulo;SP;MKR
Refrigeracao Dufrio Ltda;DUFRIO;Revenda Equipamentos;Matriz;;11-6223-4300;;11-6223-4308;0;R Cel Marques Ribeiro, 463/465;Vila Guilherme;02068-050;Sao Paulo;SP;MKR
Cook Quality Service Refeicoes Industriais;COOK QUALITY;Industria Alimentícia;Matriz;;11-6906-2565;;11-6973-4448;0;R Zumira, 234;Vl Guilherme;02073-060;Sao Paulo;SP;MKR
Frigorifico Coringa Ltda;FRIGORIFICO CORINGA;Industria da Carne;Matriz;;11-6909-8596;;11-6909-8596;0;R Santo Stefano, 38;Vl Izolina Mazei;02084-030;Sao Paulo;SP;MKR
Embalagens Ubatuba Ltda;EMBALAGENS UBATUBA;Industria Outros;Matriz;;11-6955-8855;;11-6955-8855;0;R Matias Ferrao, 26;Vl Maria;02115-010;Sao Paulo;SP;MKR
CBM Companhia Brasileira de Montagens Ltda;CBM;Industria Outros;Matriz;;6955-7800;;6955-8102;0;R Andarai, 564;Vl Maria;02117-001;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;27;11-6631-4122;;;0;R Curuca, 975;Vl Maria;02120-001;Sao Paulo;SP;MKR
Jardim Industria e Com. S/A;CAFE JARDIM;Industria Alimentícia;Matriz;;11-6954-2277;;11-6954-4804;0;R Arary Leite, 826;Vl Maria;02123-050;Sao Paulo;SP;MKR
Comercial Augusta Ltda;MINI MERCADO CHAMA;Varejo Alimenticio;Filial;Loja 6;11-201-2600;;11-201-2600;6;Av Conceicao, 3072;Vl Munhoz;02135-000;Sao Paulo;SP;MKR
Supermercado Terranova Ltda;SM TERRANOVA;Varejo Alimenticio;Matriz;Jardim Japao;11-201-9961;;;5;Av Conceicao, 4605;Jd Japao;02135-002;Sao Paulo;SP;MKR
Astros Luminosos e Fachadas Ltda - EPP;ASTROS LUMINOSOS;Industria Outros;Matriz;;11-6202-0202;;;0;R Kobe, 180;Jd  Japao;02137-010;Sao Paulo;SP;MKR
Supermercado Terranova Ltda;SM TERRANOVA;Varejo Alimenticio;Matriz;Vila Sabrina;11-202-8104;;;0;Av Milton da Rocha, 168;Vl Sabrina;02138-010;Sao Paulo;SP;MKR
Dixie Toga S.A;DIXIE TOGA;Industria Outros;Matriz;Sao Paulo;6982-9497;;;0;R Sol Amarilho G de Queiroz, 26;Pq Novo Mundo;02147-010;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;39;11-6989-9422;;;0;Av Julio Buono, 400;Vl Guilherme;02201-001;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda.;DIA BRASIL;Varejo Alimenticio;Filial;07;11-6961-7668;;;0;Pca Morro do Chapeu, 409;Jd Japao;02221-130;Sao Paulo;SP;MKR
Fit-Plast System Indl. Coml. Ltda;FIT-PLAST;Industria Outros;Matriz;;11-6241-3999;;11-6241-3999;0;R Alto Paraguai, 86;Jacana;02238-240;Sao Paulo;SP;MKR
Inst Paulista Adventista de Educ Ass Soc;COLEGIO ADVENTISTA;Entidade Religiosa;Matriz;;011-6989-9054;;;0;Av. marechal eurico gaspar dutra , 1816;Parada Inglesa;02239-010;SÒo Paulo;SP;MKR
Manoel Messias de O. Neto - Carnes -ME;MANOEL MESSIAS;Varejo Alimenticio;Filial;Vila Nivi;201-4911;;;0;R Canedos, 81;Vl Nivi;02252-010;Sao Paulo;SP;MKR
Supermercado Terranova Ltda;SM TERRANOVA;Varejo Alimenticio;Matriz;Vila Nivi;11-6949-4277;;;0;R Canedos, 100;Vl Nivi;02252-010;Sao Paulo;SP;MKR
Panificadora Servilha Ltda;SERVILHA;Varejo Alimenticio;Matriz;;6242-3503;;;0;R Francisco Rodrigues, 546;Jacana;02259-001;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - JACANA;Varejo Alimenticio;Filial;1816;11-6241-1222;;11-6241-1689;0;Av Luis Stamatis, 35;Jacana;02260-000;Sao Paulo;SP;MKR
Sonda Supermercados Exp Imp Ltda;SONDA SUPERMERCADOS;Varejo Alimenticio;Filial;01;11-2132-0550;;;36;R Benjamin Pereira, 265;Jacana;02274-000;Sao Paulo;SP;MKR
Panificadora Lar do JaþanÒ Ltda;PANIFICADORA LAR DO JAÃAN?;Varejo Alimenticio;Matriz;;6246-1034;;6243-3357;0;R Guapira, 2300;Jacana;02276-010;Sao Paulo;SP;MKR
Mercado Gouveia;MERCADO GOUVEIA;Varejo Alimenticio;Matriz;;6455-1377;;;3;Estr 3 Cruzes, 304A;Tres Cruzes;02282-000;Guarulhos;SP;MKR
MERCEARIA VILA MAZZEI LTDA;MERCEARIA MAZZEI;Varejo Alimenticio;Matriz;;6952-0853;;;0;Av Mazzei, 647;Vl Mazzei;02310000;Sao Paulo;SP;MKR
C & C Casa & Construcao Ltda;C & C;Varejo Outros;Filial;Manoel Gaya;11-6953-6000;;;0;R Manoel Gaya, 390;Vl Mazzei;02313-000;Sao Paulo;SP;MKR
Rede Construir;REDE CONSTRUIR;Varejo Outros;Filial;;011-6243-4438;;011-6243-1565;0;Av. Antonelo da Messina , 712;Jd Jaþana;02318-000;SÒo Paulo;SP;MKR
Hortifruti Celuminanda Ltda;HORTIFRUITI CELUMINANDA LTDA;Varejo Alimenticio;Matriz;;11 - 6203-1655;;;0;Av Nova Cantareira, 1686;Tucuruvi;02330-003;Sao Paulo;SP;MKR
Habibs Fast Food;HABIBS CANTAREIRA DELIVERY;Varejo Alimenticio;Filial;;6977-4483;;6977-4483;0;Av Nova Cantareira, 363;Agua Fria;02331-000;Sao Paulo;SP;MKR
Supermercado Economax Ltda;SM ECONOMAX;Varejo Alimenticio;Filial;Loja 2;4786-1097;;;5;R Vicente Pereira, 410;Pq Maraba;02345-070;Taboao da Serra;SP;MKR
Mercearia Biga Ltda;MERCEARIA BIGA;Varejo Alimenticio;Matriz;;6203-0012;;6952-5899;0;R Maria Amalia Lopes Azevedo, 21;Tremembe;02350-000;Sao Paulo;SP;MKR
Nutriplan Ltda;PADARIA REALEZA;Varejo Alimenticio;Matriz;;6204-6533;;;0;Av Maria Amalia L de Azevedo, 1006;Tremembe;02350-001;Sao Paulo;SP;MKR
Sonda Supermercados Exp Imp Ltda;SONDA SUPERMERCADOS;Varejo Alimenticio;Filial;05;11-6990-3100;;11-6990-3106;18;Av Maria Amalia L de Azevedo, 1251;Tremembe;02350-002;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - MANDAQUI;Varejo Alimenticio;Filial;2442;11-6950-3636;;;0;R Valerio Giuli, 12;Mandaqui;02417-000;Sao Paulo;SP;MKR
Super Sacolao Parque Mandaqui Ltda;REDE OBA DE HORTIFRUTIS;Varejo Alimenticio;Filial;Parque Mandaqui;11-6231-7498;;;0;R Dep Gouveia Franco, 3;Pq Mandaqui;02422-010;Sao Paulo;SP;MKR
Elizabeth da Costa Lima Publicidade k2;SM K2;Atacado Alimentos;Matriz;01;11-6233-7676;;;0;Rua Alcides Godoi ,467;Mandaqui;02423-190;Sao Pulo;SP;MKR
Axial Acessorios Ind. Ltda;AXIAL;Varejo Outros;Matriz;;6232-4599;;6231-9183;0;Av Lauzane Paulista, 10;;02443-040;Sao Paulo;SP;MKR
Sacolao Cabral ltda;SACOLAO CABRAL;Atacado Alimentos;Matriz;;11-3859-4202;;;0;Av Imirim 1000;Imrim;02464-700;Sao Paulo;SP;MKR
Supermercado Kanashiro ltda;KANASHIRO;Varejo Outros;Matriz;;11-6256-5657;;;0;Av imirim ,1195;Imirim;02465-100;SÒo Paulo;SP;MKR
Habibs Fast Food;HABIBS BRAZ LEME;Varejo Alimenticio;Filial;;11-3966-0290;;11-3966-0290;0;Av Braz Leme, 550;Casa Verde;02511-000;Sao Paulo;SP;MKR
Laticinios Catupiry Ltda;CATUPIRY;Industria Alimentícia;Matriz;;11-3226-3155;;11-5093-1064;0;R Atilio Piffer, 687;Casa Verde;02516-000;Sao Paulo;SP;MKR
Cacau Show Ltda;CACAU SHOW;Industria Alimentícia;Filial;;11-3959-2800;;11-3959-2813;0;R Carandai, 348;Casa Verde;02516-020;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;47;11-3858-8310;;;0;Av Pe Antonio D Angelo, 143/145;Casa Verde;02516-040;Sao Paulo;SP;MKR
Econ Distribuicao S/A;ECON SUPERMERCADOS;Varejo Alimenticio;Filial;08;11-3966-7108;;;3;Av Casa Verde, 832;Casa Verde;02520-000;Sao Paulo;SP;MKR
Supermercado America Ltda;SM AMERICA;Varejo Alimenticio;Matriz;Vl. Beatriz;11-3032- 9561;;;3;Av Miguel Rodrigues, 112;Vl Beatriz;02542-110;Sao Paulo;SP;MKR
MR Sobremesas Ltda;LAFFRIOLEE SOBREMESAS;Industria Alimentícia;Matriz;;11-3984-2799;;11-3984-2799;0;Av Lasar Segall, 138;Vl Celeste;02543-010;Sao Paulo;SP;MKR
Tij Blocos ltda;LAR E CONSTRUÃ?O;Industria Outros;Matriz;;116239-3933;;;0;Av Engenheiro Caetano Alvares 3520;Imirim;02546-000;Sao Paulo;SP;MKR
Boi da Parada Comercio de Carnes Ltda;TDR;Varejo Alimenticio;Matriz;;11-6281-6551;;;0;Av Parada Pinto, 2251;Vl Amalia;02611-000;Sao Paulo;SP;MKR
Cromex Brancolor Ltda;CROMEX;Varejo Outros;Filial;;3856-1000;;3856-1078;0;Av Prof Celestino Bourroul, 273;Limao;02710-000;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - BAIRRO DO LIMAO;Varejo Alimenticio;Filial;1815;11-3857-6366;;11-3966-3189;0;Av Prof Celestino Bourroul, 1005;Limao;02710-001;Sao Paulo;SP;MKR
Jorsil Industria e Comercio Ltda;JORSIL;Varejo Outros;Matriz;;11-2179-5100;;;0;R Maestro Gabriel Migliori, 556;Limao;02712-140;Sao Paulo;SP;MKR
Machico Comercial Importadora Ltda;ROLDAO;Varejo Alimenticio;Filial;Limao;11-3935-1010;;11-935-1010;16;Av Nsa Sra do O, 1568;Limao;02715-000;Sao Paulo;SP;MKR
Supermercado Uehara Ltda;UEHARA;Atacado Outros;Matriz;01;11-3936-3711;;;0;Av. Deputado Emilio Carlos ,1129 A;Santa Maria;02721-100;Sao Paulo;SP;MKR
Mercearia Oine Ltda;MERCEARIA OINE;Varejo Alimenticio;Matriz;;3931-4229;;;0;R Antonio Munhoz Bolilha, 392;Vl Carolina;02725000;Sao Paulo;SP;MKR
Ottime Tecnologia Industrial Ltda;OTTIME;Industria Outros;Matriz;;3931-6766;;3931-3080;0;R Ribeirao das Almas, 150;Freguesia do O;02728-100;Sao Paulo;SP;MKR
Poliex do Brasil Ind.e Com. Ltda;POLIEX;Industria Outros;Matriz;;11-3976-9988;;11-3976-9988;0;R dos Sitiantes, 595;Freguesia do O;02737-000;Sao Paulo;SP;MKR
Nutri Art Fornecedora de Refeicoes Ltda;NUTRI ART;Varejo Alimenticio;Matriz;;3976-4438;;3976-4438;0;R Joao Batista, 5;Freguesia do O;02804-110;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - SANTANA;Varejo Alimenticio;Filial;1729;11-6236-0438;;11-6236-3634;0;R Cons Moreira de Barros, 2075;Santana;02830-000;Sao Paulo;SP;MKR
Narchico Comercial Importadora Ltda.;RODAO SUPERMERCADOS;Varejo Alimenticio;Matriz;Brasilandia;11-3922-4033;;;0;R Parapua, 1340/1344;Itaberaba;02831-001;Sao Paulo;SP;MKR
Mini Mercado Jardim Guarani Ltda;MINI MERCADO JARDIM GUARANI;Varejo Alimenticio;Matriz;;11-3921-6064;;;6;R Joao Pinto de Oliveira, 406;Jd Guarani;02849110;Sao Paulo;SP;MKR
Supermercado Simonica ltda;SM SIMONICA;Varejo Alimenticio;Filial;;11-3851-6821;;;0;Av Inajar de Souza, 5646;Vl Souza;02861-190;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;17;11-3982-5934;;;0;R Henry Charles Postel, 811;Brasilandia;02862-000;Sao Paulo;SP;MKR
Mercado CRC;MERCADO CRC;Atacado Outros;Matriz;01;11-3981-3883;;;0;Rua Arroio do Meio,25;Jd Vista Alegre;02878-120;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - PIRITUBA;Varejo Alimenticio;Filial;1760;11-3978-2215;;;0;R Almirante Isaias de Noronha, 163;Pirituba;02910-100;Sao Paulo;SP;MKR
Frigo Joia Industria e Comercio de Frios Ltda;FRIGOJOIA;Industria Alimentícia;Matriz;;11-3931-7829;;;0;R Sousa Filho, 688;Vl Sta Delfina;02911-060;Sao Paulo;SP;MKR
Supermercado Mirante Ltda;SM MIRANTE;Atacado Alimentos;Matriz;;11-3972-7518;;;0;Av Miguel de Castro, 2800;Vl Renata;02950-000;Sao Paulo;SP;MKR
MGA do Brasil Ind. Com. Mat. Ved. Ltda;MGA DO BRASIL;Industria Outros;Matriz;;11-3974-8686;;11-3974-8686;0;R Andre Pereira Temudo, 240;Pirituba;02957-000;Sao Paulo;SP;MKR
Douglas Koiti Hashimoto EPP;SM SUPER LOCAL;Varejo Alimenticio;Matriz;;11-3998-0567;;11-3998-0567;4;Av Min Petronio Portela, 2251;Jd Iracema;02959-000;Sao Paulo;SP;MKR
Comercial de Alimentos J Celio Me;SUPERMERCADOS J CELIO;Varejo Alimenticio;Matriz;;11-3971-3302;;11-3971-3302;4;R Colonial de Irai, 313;Jd Maggi;02982-130;Sao Paulo;SP;MKR
Comercial de Generos Aliment Silva Porto Ltda;SUPERMERCADO TRES IRMAS;Varejo Alimenticio;Matriz;;11-3941-0615;;;0;R Joao Gomes de Mendonca, 127;Parada de Taipas;02990-020;Sao Paulo;SP;MKR
Mercadinho Marialva Ltda;MERCADINHO MARIALVA;Varejo Alimenticio;Matriz;;11-3941-2226;;11-3941-3180;0;Estr de Taipas, 2549;Jd. Rincao;02991-000;Sao Paulo;SP;MKR
